dataset,n_keys,index,config,size_in_bytes,rep,n_samples,build_time,eval_time,lookup_time,eval_accu,lookup_accu
fb_200M_uint64,199999999,PGM-index,"epsilon=4,epsilon_recursive=16",134524664,2,20000000,5906548812,3929358954,6064507045,6000508860408214,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=2,epsilon_recursive=16",254710064,0,20000000,6348345973,4626721418,6282406213,6000508873420237,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=2,epsilon_recursive=16",254710064,1,20000000,6350358903,4627663024,6260802667,6000508873420237,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=2,epsilon_recursive=16",254710064,2,20000000,6349002795,4583321871,6248966041,6000508873420237,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=1,epsilon_recursive=16",443430704,0,20000000,6694553784,4724494801,6445259302,6000508882022284,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=1,epsilon_recursive=16",443430704,1,20000000,6716655390,4747497038,6465104871,6000508882022284,2000169621899627
fb_200M_uint64,199999999,PGM-index,"epsilon=1,epsilon_recursive=16",443430704,2,20000000,6700144319,4731101076,6405234052,6000508882022284,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_0,402653200,0,20000000,12718954968,445922907,2912071732,2000170141596930,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_0,402653200,1,20000000,12718954968,443727309,2916350829,2000170141596930,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_0,402653200,2,20000000,12718954968,444011454,2885478642,2000170141596930,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_1,201326608,0,20000000,10961502214,426285286,3077838200,2000170444738572,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_1,201326608,1,20000000,10961502214,411946218,3104899170,2000170444738572,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_1,201326608,2,20000000,10961502214,409324825,3046254643,2000170444738572,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_2,100663312,0,20000000,9892036225,393219432,3334378251,2000170906150663,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_2,100663312,1,20000000,9892036225,372041010,3364418043,2000170906150663,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_2,100663312,2,20000000,9892036225,382370383,3363393157,2000170906150663,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_3,25165840,0,20000000,8941878041,279113479,4023666503,2000172630076300,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_3,25165840,1,20000000,8941878041,302050295,4019159065,2000172630076300,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_3,25165840,2,20000000,8941878041,279160081,4043158932,2000172630076300,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_4,12582928,0,20000000,8684714550,186070481,4492421465,2000174135467646,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_4,12582928,1,20000000,8684714550,186433726,4488219727,2000174135467646,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_4,12582928,2,20000000,8684714550,176126530,4481385795,2000174135467646,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_5,6291472,0,20000000,8587947580,138965450,4914223247,2000176301071747,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_5,6291472,1,20000000,8587947580,136764082,4902236291,2000176301071747,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_5,6291472,2,20000000,8587947580,138162556,4957034872,2000176301071747,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_6,3145744,0,20000000,8536713208,126782967,5374097810,2000179492471443,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_6,3145744,1,20000000,8536713208,131004973,5393009354,2000179492471443,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_6,3145744,2,20000000,8536713208,130110333,5329257664,2000179492471443,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_7,786448,0,20000000,8457491513,115727392,6218255218,2000190578717120,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_7,786448,1,20000000,8457491513,110283670,6210346261,2000190578717120,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_7,786448,2,20000000,8457491513,110750041,6207871840,2000190578717120,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_8,24592,0,20000000,8537797678,95531721,9489439576,2000313176603582,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_8,24592,1,20000000,8537797678,92994015,9592150068,2000313176603582,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_8,24592,2,20000000,8537797678,93089180,9594699228,2000313176603582,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_9,3088,0,20000000,9038883438,99690705,11110534535,2001180025667439,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_9,3088,1,20000000,9038883438,93506727,11151832195,2001180025667439,2000169621899627
fb_200M_uint64,199999999,RMI-ref,fb_200M_uint64_9,3088,2,20000000,9038883438,93776586,11220972948,2001180025667439,2000169621899627
fb_200M_uint64,199999999,"Binary search","",0,0,20000000,0,0,14408159459,0,2000169621899627
fb_200M_uint64,199999999,"Binary search","",0,1,20000000,0,0,14431857003,0,2000169621899627
fb_200M_uint64,199999999,"Binary search","",0,2,20000000,0,0,14393964634,0,2000169621899627
